Treatment	Group	Player	Risk Aversion	Loss Aversion	Fairness	Trust	Altruism	Temporal Discounting								
Certainty	1	1	5	8	8	6	7	7								
Certainty	1	2	10	1	10	8	10	8								
Certainty	1	3	7	7	10	7	10	9								
Certainty	1	4	6	7	10	6	7	8								
Certainty	1	5	3	9	10	7	3	8								
Certainty	1	6	10	3	5	6	4	5								
Certainty	2	1	4	5	10	5	7	7								
Certainty	2	2	8	8	2	6	4	8								
Certainty	2	3	7	7	4	10	10	8								
Certainty	2	4	7	10	10	3	8	7								
Certainty	2	5	10	10	10	1	8	7								
Certainty	2	6	10	5	10	10	10	9								
Certainty	3	1	5	9	8	6	8	9								
Certainty	3	2	3	6	8	10	10	6								
Certainty	3	3	3	8	10	9	7	5								
Certainty	3	4	5	6	3	6	4	6								
Certainty	3	5	5	7	9	5	7	7								
Certainty	3	6	7	6	10	10	7	8								
Certainty	4	1	5	4	8	4	9	9								
Certainty	4	2	5	8	3	7	9	7								
Certainty	4	3	8	6	8	8	9	8								
Certainty	4	4	7	5	10	4	10	10								
Certainty	4	5	5	9	10	5	9	7								
Certainty	4	6	10	9	2	1	2	10								
Certainty	5	1	2	3	10	2	9	10								
Certainty	5	2	3	3	9	6	8	6								
Certainty	5	3	4	8	10	9	8	10								
Certainty	5	4	4	8	10	5	7	10								
Certainty	5	5	7	5	9	3	7	7								
Certainty	5	6	9	5	3	10	8	2								
Certainty	6	1	8	6	10	6	9	9								
Certainty	6	2	3	10	8	4	4	8								
Certainty	6	3	5	8	9	2	5	7								
Certainty	6	4	3	5	9	5	7	8								
Certainty	6	5	10	8	9	10	10	10								
Certainty	6	6	6	10	10	4	10	10								
Certainty	7	1	7	5	9	8	8	9								
Certainty	7	2	3	10	10	8	10	9								
Certainty	7	3	5	6	8	8	7	6								
Certainty	7	4	9	7	6	10	8	9								
Certainty	7	5	3	8	9	8	6	8								
Certainty	7	6	9	5	6	6	4	10								
Certainty	8	1	5	9	7	4	6	7								
Certainty	8	2	6	9	8	7	7	5								
Certainty	8	3	8	8	10	5	10	9								
Certainty	8	4	5	6	6	10	9	10								
Certainty	8	5	8	7	10	7	6	9								
Certainty	8	6	4	3	9	5	7	8								
Certainty	9	1	3	9	10	7	10	7								
Certainty	9	2	8	4	6	7	8	5								
